Date,Cost per Mb,Cost per Genome
2001-09-30,5292.39288459743,95263071.9227537
2002-03-31,3898.6354119859907,70175437.41574784
2002-09-30,3413.8011945854346,61448421.502537824
2003-03-31,2986.204670965579,53751684.077380426
2003-10-31,2230.9752350179665,40157554.2303234
2004-01-31,1598.9097892402337,28780376.20632421
2004-04-30,1135.6986744914357,20442576.140845843
2004-07-31,1107.4636519548915,19934345.73518805
2004-10-31,1028.8506757569978,18519312.163625963
2005-01-31,974.1649756563984,17534969.561815172
2005-04-30,897.7610798936241,16159699.438085236
2005-07-31,898.9013391332535,16180224.104398562
2005-10-31,766.7291218837078,13801124.193906741
2006-01-31,699.2032722876385,12585658.901177494
2006-04-30,651.8074733457719,11732534.520223893
2006-07-31,636.4064011735258,11455315.221123463
2006-10-31,581.9197978359964,10474556.361047935
2007-01-31,522.7077172068983,9408738.909724168
2007-04-30,502.61127606225165,9047002.96912053
2007-07-31,495.96345237787824,8927342.142801808
2007-10-31,397.08729936016084,7147571.388482895
2008-01-31,102.12733297689678,3063819.9893069034
2008-04-30,15.033135877421174,1352982.2289679057
2008-07-31,8.356443357889145,752079.902210023
2008-10-31,3.805578446865605,342502.06021790445
2009-01-31,2.5859493082562675,232735.43774306407
2009-04-30,1.7190399896920068,154713.5990722806
2009-07-31,1.2007237715317063,108065.13943785356
2009-10-31,0.7814814936017647,70333.33442415882
2010-01-31,0.5197141425490287,46774.272829412585
2010-04-30,0.3501337726948461,31512.039542536146
2010-07-31,0.34583289708415843,31124.960737574256
2010-10-31,0.32324148606056363,29091.733745450725
2011-01-31,0.23291980278884258,20962.782250995835
2011-04-30,0.18568903457357452,16712.013111621705
2011-07-31,0.11663259976511531,10496.933978860377
2011-10-30,0.08603820116283417,7743.438104655075
2012-01-31,0.08518021153621447,7666.219038259302
2012-04-30,0.06556991817197015,5901.2926354773135
2012-07-31,0.06649690377146789,5984.72133943211
2012-10-31,0.07353721420782572,6618.349278704315
2013-01-31,0.06301495642398491,5671.346078158642
2013-04-30,0.06364124842290947,5550.26483952985
2013-07-31,0.06166960932810945,5550.26483952985
2013-10-31,0.0566230780616118,5096.077025545062
2014-01-31,0.04453452221231721,4008.1069991085487
2014-04-30,0.054672187101192614,4920.496839107335
2014-07-31,0.05449830186754514,4904.847168079063
2014-10-31,0.06367656138373105,5730.890524535795
2015-01-31,0.04410930868952066,3969.8377820568594
2015-04-30,0.04678652563955651,4210.7873075600855
2015-07-31,0.015147113483073554,1363.2402134766198
2015-10-31,0.013836764641337628,1245.3088177203865
2016-05-31,0.013063824195886144,1175.744177629753
2016-08-31,0.01675299543177889,1507.7695888601002
2016-11-30,0.01506433630818145,1355.7902677363306
2017-02-28,0.011282049689027051,1015.3844720124347
2017-05-31,0.014815551970214213,1333.3996773192791
2017-08-31,0.01259954297997196,1133.9588681974765
2017-11-30,0.020489749777476394,1844.0774799728754
2018-02-28,0.013691947148162426,1232.2752433346184
2018-05-31,0.016257025645980423,1463.1323081382382
2018-08-31,0.016303130628325602,1467.2817565493042
2018-11-30,0.015463140328597889,1391.68262957381
2019-02-28,0.011034842980739264,993.1358682665337
2019-05-01,0.006736850780694,606.31657026246
2019-08-01,0.010468294653730979,942.1465188357881
2019-11-30,0.007726383316083286,695.3744984474957
2020-02-28,0.007162404263288271,644.6163836959444
2020-05-31,0.007795134152767314,701.5620737490583
2020-08-31,0.007650729136987875,688.5656223289088
2020-11-30,0.00568854202635435,511.96878237189145
2021-02-28,0.009453791792788484,850.8412613509635
2021-05-31,0.0050449572464572245,454.04615218115026
2021-08-31,0.006246392948047957,562.1753653243161
2021-11-30,0.006135518030494901,552.1966227445411
2022-02-28,0.005829163152286766,524.6246837058089
2022-05-31,0.005829163152286766,524.6246837058089
